Div. ,Text ,"Primary
cause",Severity ,Risk
D1,"We have taken shutdown for collector pipe job in between PP Bay,
Axis -15 to 10. Also we have isolated the crane movement area by
fixing stopper & indicative barricading. During our job, crane
operator has been changed as per their shift schedule. B-shift
operator moved the crane towards north side from axis 18 to 14.
As discussed with operator, came to know that he was not aware
about shutdown. No physical damage has been noted due to this
near miss.",PC1 ,4,C1
D1,"It has repetative observed that Road in front of main office near
scubber is completely dark.We have already rauised it earlier but
condition remains the same.",PC2 ,5,C1
D3 ,"While operating breaker by electrician, his hand got slipped and
this may sustain an injury. ",PC2 ,5,C2
D4,"While welding passing and cage changing process we have to stop
first block, operator was doing the same but at time of this process
first block does not stopped and cage fallen down, No injury",PC3 ,5,C2
D2 ,"There was crack found in track of torpedo area. Torpedo was
taking slight jerk during its movement on the track. ",PC3 ,4,C2
D2,"Mr. X was in C shift on dd.mm.yyyy. At around 12:30 AM, he
went to check F1 Backup roll traverse cylinder proximity. After
completing the job, while returning to Zero floor level, his left leg
ankle got twisted. As the pain was not severe, he did not report the
incident on time. At around 6:00AM, he felt severe pain and
swelling. He reported the incident to Mr Y. After this, vehicle was
arranged and he was sent to plant medical. On checking, doctor
referred to Medical for further treatment. During X-ray, no
fracture was observed.",PC1 ,4,C1
D3 ,While going to rest on a chair its base got hanged. ,PC1 ,5,C1
D3,"On dd.mm.yyyy at around 7:30 am, Mr. Z (age 52 years), Senior
Supervisor of F BF, engaged in supervision of peep hole glass
inspection/cleaning job. During inspection he was affected from
retained coal powder with hot air jet from peep hole assembly. As
a result he sustained superficial burn injury on his face.",PC2 ,4,C2
D1,"A MS Angle, of approximate dimensions 50mm X 50mm X 6mm
of about 3 feet length fell on the ground floor, possibly from the
2nd floor. (Marked by red in the attached photo).Fortunately there
was no person standing on the ground floor, where the angle fell
otherwise it could have resulted in very serious injury.",PC4 ,4,C2
D4 ,"Grease was found on floor, due to this one person narrowly save
from falling. ",PC3 ,5,C1
D2,"Mr. P was operating Hyva truck. When he was about to come out
of the Cabin after parking the dumper at the designated area, his
fluorescent Jacket got struck in the parking Brake Lever. During
that time he had already opened the door stepped out of the cabin
and was about to fall on the ground due to this action. Somehow
he managed himself from falling and avoided any injury.",PC4 ,5,C2
D4 ,"Sand, water leakage from bore hole causing slip trip hazard , needs
to replace stool bends ",PC1 ,5,C2
D3,"We have taken DSL shutdown for collector pipe job in between
NP Bay, Axis -15 to 10. Also we have isolated the crane
movement area by fixing stopper & indicative barricading. During
our job, crane operator has been changed as per their shift
schedule. B-shift operator moved the EOT crane towards north
side from axis 18 to 14. As discussed with operator, came to know
that he was not aware about shutdown. No physical damage has
been noted due to this near miss.",PC4 ,4,C1
